학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
Project Mgmt,SKPM Ⅰ (기본 지식),,사내과정,VOD,SKPM Ⅰ(기본 지식),공개,1,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://learning.samsung.com/course/nv9kelnj
Project Mgmt,제안전략/PT 클리닉,,사내과정,오프라인집합,제안서 & PT 실전 클리닉,공개,8,Sales - Sales,Biz. Consulting - ESG/SHE; Domain Expert - Domain Expert; PM - Application PM,,,https://edu.samsung.com/training/ks5tbxkl
Project Mgmt,기능점수(Function Point) 산정 기본,,사내과정,오프라인집합,기능점수(Function Point) 산정 기본,공개,8,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://samsungu.ac.kr/learning/vi1zuasi
Project Mgmt,기능점수(Function Point) 산정 실무,,사내과정,오프라인집합,기능점수(Function Point) 산정 실무,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Sales - Sales; Biz. Consulting - AIX,,,https://edu.samsung.com/education/3m1x06m1
Project Mgmt,PJT. 발굴/수행 Case Study,,사내과정,VOD,CJ대한통운 차세대 택배시스템 구축 사례,공개,1.5,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://academy.samsung.com/course/xqhydei2
Project Mgmt,PM 양성 : 프로젝트 관리 실무,,사내과정,오프라인집합,PM Bootcamp : 3일 완성! 프로젝트 관리 A to Z,공개,16,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Architect - Application Archi.; Biz. Consulting - ERP; Software - Front-end; Solution - ERP Dev.,,,https://academy.samsung.com/learning/38roj4u3
Project Mgmt,SKPM Ⅱ (C&C 프로세스),,사내과정,VOD,AGS 활용 Guide (VOD),공개,1.2,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://learning.samsung.com/program/lg7eig42
Project Mgmt,PJT. 발굴/수행 Case Study,,사내과정,VOD,[VOD] 성공적인 차세대 프로젝트 수행을 위한 고려사항_박종철 전문교수,공개,1,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://academy.samsung.com/lecture/uxa86qdu
Project Mgmt,대형/차세대 PJT. Mgmt.,,사내과정,온라인집합,대형/차세대 PJT. Mgmt. 전문가 과정,공개,80,,PM - Application PM; Quality Mgmt - PMO,,,https://learning.samsung.com/learning/6tef2itr
Project Mgmt,SKPM Ⅱ (C&C 프로세스),,사내과정,VOD,PM Bootcamp : 3일 완성! 프로젝트 관리 A to Z (1일차),공개,6,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://academy.samsung.com/training/5iy83fbn
